ping 4170 
 loc 15.957991 146.034028
 Tx roll -1.054242  pitch 2.045459 heave -0.542000 heading 215.529534
1970 time 1304827266.555000
YMD time  2011 128 Sun May 8 04:01:06 0.555
 Transmit sector  0
----- tilt_angle        - -1.910000
----- focus_range       - 146.700000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000400
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 0
----- signal_bandwidth  - 5000.000000
 Transmit sector  1
----- tilt_angle        - -2.910000
----- focus_range       - 101.100000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000000
----- center_frequency  - 89000.000000
----- mean_absorp_coeff - 2856
----- waveform_id       - 0
----- sector_id         - 1
----- signal_bandwidth  - 5000.000000
 Transmit sector  2
----- tilt_angle        - -1.910000
----- focus_range       - 146.400000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000800
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 2
----- signal_bandwidth  - 5000.000000
 beam    across    along    depth  samp#  TWTTsec    SLR  RxStr sc# TxStr  shotdelat cenFQ
 190      -9.34    16.71   -97.69   1659 0.119456  179.2   5.92   1 -2.91  0.000000  89000 
 191      -8.55    16.71   -97.66   1658 0.119384  179.1   5.43   1 -2.91  0.000000  89000 
 192      -7.75    16.71   -97.66   1657 0.119312  179.0   4.93   1 -2.91  0.000000  89000 
 193      -6.96    16.72   -97.69   1656 0.119240  178.9   4.44   1 -2.91  0.000000  89000 
 194      -6.16    16.72   -97.68   1656 0.119240  178.9   3.94   1 -2.91  0.000000  89000 
 195      -5.38    16.72   -97.65   1654 0.119096  178.6   3.45   1 -2.91  0.000000  89000 
 196      -4.57    16.72   -97.64   1654 0.119096  178.6   2.95   1 -2.91  0.000000  89000 
 197      -3.78    16.73   -97.65   1653 0.119024  178.5   2.45   1 -2.91  0.000000  89000 
 198      -2.98    16.73   -97.65   1653 0.119024  178.5   1.95   1 -2.91  0.000000  89000 
 199      -2.19    16.73   -97.64   1653 0.119024  178.5   1.46   1 -2.91  0.000000  89000 
 200      -1.39    16.73   -97.64   1653 0.119024  178.5   0.96   1 -2.91  0.000000  89000 
 201      -0.59    16.73   -97.64   1653 0.119024  178.5   0.46   1 -2.91  0.000000  89000 
 202       0.19    16.73   -97.64   1653 0.119024  178.5  -0.03   1 -2.91  0.000000  89000 
 203       0.99    16.73   -97.63   1654 0.119096  178.6  -0.53   1 -2.91  0.000000  89000 
 204       1.79    16.73   -97.64   1654 0.119096  178.6  -1.03   1 -2.91  0.000000  89000 
 205       2.59    16.73   -97.64   1655 0.119168  178.8  -1.53   1 -2.91  0.000000  89000 
 206       3.37    16.73   -97.62   1655 0.119168  178.8  -2.02   1 -2.91  0.000000  89000 
 207       4.17    16.73   -97.61   1656 0.119240  178.9  -2.52   1 -2.91  0.000000  89000 
 208       4.96    16.72   -97.64   1657 0.119312  179.0  -3.01   1 -2.91  0.000000  89000 
 209       5.77    16.72   -97.69   1659 0.119456  179.2  -3.51   1 -2.91  0.000000  89000 
 210       6.56    16.72   -97.74   1662 0.119672  179.5  -4.00   1 -2.91  0.000000  89000 
 211       7.34    16.72   -97.58   1660 0.119528  179.3  -4.49   1 -2.91  0.000000  89000 
 212       8.14    16.71   -97.64   1662 0.119672  179.5  -4.98   1 -2.91  0.000000  89000 
 213       8.95    16.71   -97.66   1664 0.119816  179.7  -5.48   1 -2.91  0.000000  89000 
 214       9.74    16.71   -97.66   1666 0.119960  179.9  -5.97   1 -2.91  0.000000  89000 
 215      10.54    16.70   -97.63   1667 0.120032  180.0  -6.46   1 -2.91  0.000000  89000 
 216      11.32    16.70   -97.63   1669 0.120176  180.3  -6.94   1 -2.91  0.000000  89000 
 217      12.13    16.69   -97.66   1672 0.120392  180.6  -7.43   1 -2.91  0.000000  89000 
 218      12.93    16.69   -97.68   1675 0.120608  180.9  -7.92   1 -2.91  0.000000  89000 
 219      13.73    16.68   -97.72   1678 0.120824  181.2  -8.40   1 -2.91  0.000000  89000 
 220      14.50    16.68   -97.64   1679 0.120896  181.3  -8.88   1 -2.91  0.000000  89000 
 221      15.30    16.67   -97.63   1681 0.121040  181.6  -9.36   1 -2.91  0.000000  89000 
 222      16.09    16.66   -97.62   1683 0.121184  181.8  -9.84   1 -2.91  0.000000  89000 
 223      16.89    16.66   -97.62   1686 0.121400  182.1 -10.32   1 -2.91  0.000000  89000 
 224      17.70    16.65   -97.66   1690 0.121688  182.5 -10.80   1 -2.91  0.000000  89000 
 225      18.50    16.64   -97.70   1694 0.121976  183.0 -11.27   1 -2.91  0.000000  89000 
 226      19.32    16.63   -97.74   1698 0.122264  183.4 -11.75   1 -2.91  0.000000  89000 
 227      20.09    16.62   -97.67   1700 0.122408  183.6 -12.22   1 -2.91  0.000000  89000 
 228      20.88    16.62   -97.66   1703 0.122624  183.9 -12.69   1 -2.91  0.000000  89000 
 229      21.69    16.61   -97.67   1706 0.122840  184.3 -13.16   1 -2.91  0.000000  89000 
